"_time","WIKI/AAPL","WIKI/CA","WIKI/DATA","WIKI/EMC","WIKI/HPQ","WIKI/IBM","WIKI/MSFT","WIKI/MSTR","WIKI/ORCL","WIKI/QLIK","WIKI/SPLK","WIKI/TDC","WIKI/VRNS"
"2015-03-08T00:00:00.000-0800","126.6","31.71","92.34","27.65","33.18","158.5","42.36","161.72","42.38","32.0","62.48","42.89","30.25"
"2015-03-09T00:00:00.000-0700","127.14","31.86","92.67","27.86","32.95","160.77","42.85","164.86","42.69","31.86","61.83","42.85","30.35"
"2015-03-10T00:00:00.000-0700","124.51","31.31","92.04","26.95","32.67","157.81","42.03","161.04","41.82","31.41","60.81","42.18","29.6"
"2015-03-11T00:00:00.000-0700","122.24","31.22","93.16","25.72","32.61","156.8","41.98","160.21","41.47","30.77","60.83","42.24","30.43"
"2015-03-12T00:00:00.000-0700","124.45","31.595","94.76","26.17","32.72","157.98","41.02","163.03","41.62","30.935","62.83","42.34","30.52"
"2015-03-13T00:00:00.000-0700","123.59","31.38","92.66","26.0","32.43","154.28","41.38","164.26","42.38","30.725","62.82","42.14","29.76"
"2015-03-14T00:00:00.000-0700","123.59","31.38","92.66","26.0","32.43","154.28","41.38","164.26","42.38","30.725","62.82","42.14","29.76"
"2015-03-15T00:00:00.000-0700","123.59","31.38","92.66","26.0","32.43","154.28","41.38","164.26","42.38","30.725","62.82","42.14","29.76"
"2015-03-16T00:00:00.000-0700","124.95","31.39","94.47","26.18","32.38","157.08","41.53","168.41","43.41","30.95","62.07","42.19","29.81"
"2015-03-17T00:00:00.000-0700","127.04","31.55","95.02","25.96","32.43","156.96","41.695","169.96","42.87","30.5","62.84","42.74","29.52"
"2015-03-18T00:00:00.000-0700","128.47","32.365","97.88","26.47","33.03","159.81","42.5","173.24","44.13","31.1","64.33","42.73","29.88"
"2015-03-19T00:00:00.000-0700","127.495","32.35","97.45","26.21","32.84","159.81","42.285","173.78","44.16","31.55","63.73","42.73","29.73"
"2015-03-20T00:00:00.000-0700","125.9","32.91","93.96","26.7","33.28","162.88","42.88","174.76","44.41","32.115","62.1","43.95","29.92"
"2015-03-21T00:00:00.000-0700","125.9","32.91","93.96","26.7","33.28","162.88","42.88","174.76","44.41","32.115","62.1","43.95","29.92"
"2015-03-22T00:00:00.000-0700","125.9","32.91","93.96","26.7","33.28","162.88","42.88","174.76","44.41","32.115","62.1","43.95","29.92"
"2015-03-23T00:00:00.000-0700","127.21","33.05","94.08","26.25","33.45","164.63","42.855","174.35","44.25","32.22","60.72","44.23","29.98"
"2015-03-24T00:00:00.000-0700","126.69","32.89","93.68","25.81","33.31","163.0","42.9","172.5","43.71","31.87","60.04","43.7","29.61"
"2015-03-25T00:00:00.000-0700","123.38","31.875","90.73","25.68","32.2","159.2","41.46","166.96","42.93","31.04","58.72","42.67","27.39"
"2015-03-26T00:00:00.000-0700","124.24","31.83","92.79","25.81","32.01","160.59","41.21","169.54","42.99","31.37","59.58","42.62","27.85"
"2015-03-27T00:00:00.000-0700","123.25","32.29","93.24","25.17","31.49","160.4","40.97","170.13","42.64","31.56","60.4","42.71","27.24"
"2015-03-28T00:00:00.000-0700","123.25","32.29","93.24","25.17","31.49","160.4","40.97","170.13","42.64","31.56","60.4","42.71","27.24"
"2015-03-29T00:00:00.000-0700","123.25","32.29","93.24","25.17","31.49","160.4","40.97","170.13","42.64","31.56","60.4","42.71","27.24"
"2015-03-30T00:00:00.000-0700","126.37","32.71","93.09","25.52","31.57","162.67","40.96","170.91","43.44","31.68","60.11","43.57","26.95"
"2015-03-31T00:00:00.000-0700","124.43","32.61","92.52","25.56","31.16","160.5","40.655","169.19","43.15","31.13","59.2","44.14","25.66"
"2015-04-01T00:00:00.000-0700","124.25","32.13","90.97","25.47","31.29","159.18","40.7","169.16","42.94","31.22","57.82","44.01","24.7"
"2015-04-02T00:00:00.000-0700","125.32","31.93","91.27","25.53","31.4","160.45","40.29","169.52","42.62","31.72","59.23","43.97","24.74"
"2015-04-03T00:00:00.000-0700","125.32","31.93","91.27","25.53","31.4","160.45","40.29","169.52","42.62","31.72","59.23","43.97","24.74"
"2015-04-04T00:00:00.000-0700","125.32","31.93","91.27","25.53","31.4","160.45","40.29","169.52","42.62","31.72","59.23","43.97","24.74"
"2015-04-05T00:00:00.000-0700","125.32","31.93","91.27","25.53","31.4","160.45","40.29","169.52","42.62","31.72","59.23","43.97","24.74"
"2015-04-06T00:00:00.000-0700","127.35","32.39","93.04","26.14","31.83","162.04","41.545","170.02","42.96","32.09","60.18","44.72","24.67"
"2015-04-07T00:00:00.000-0700","126.01","32.27","94.95","26.18","31.42","162.07","41.53","170.28","42.96","32.62","62.09","45.4","25.355"
"2015-04-08T00:00:00.000-0700","125.6","32.3","97.23","26.23","31.52","161.85","41.42","172.065","43.11","32.68","63.37","45.62","26.17"
"2015-04-09T00:00:00.000-0700","126.56","31.44","96.76","25.95","31.55","162.34","41.48","173.99","43.2","33.39","63.79","45.89","26.8"
"2015-04-10T00:00:00.000-0700","127.1","31.545","97.22","25.83","32.11","162.86","41.72","175.99","43.51","33.26","63.17","44.86","27.51"
"2015-04-11T00:00:00.000-0700","127.1","31.545","97.22","25.83","32.11","162.86","41.72","175.99","43.51","33.26","63.17","44.86","27.51"
"2015-04-12T00:00:00.000-0700","127.1","31.545","97.22","25.83","32.11","162.86","41.72","175.99","43.51","33.26","63.17","44.86","27.51"
"2015-04-13T00:00:00.000-0700","126.85","31.06","95.79","25.95","32.7","162.38","41.76","171.96","43.08","33.08","62.47","44.14","27.23"
"2015-04-14T00:00:00.000-0700","126.3","31.275","95.5","26.2","32.52","162.3","41.65","171.12","42.73","33.59","62.07","43.59","26.32"
"2015-04-15T00:00:00.000-0700","126.78","31.81","96.05","26.22","33.04","164.13","42.255","173.39","43.99","33.515","63.45","43.72","27.83"
"2015-04-16T00:00:00.000-0700","126.17","31.855","101.16","26.05","32.81","163.13","42.16","173.35","43.46","33.58","64.67","43.74","26.74"
"2015-04-17T00:00:00.000-0700","124.75","31.2","95.07","26.61","32.53","160.67","41.62","170.65","43.0","32.92","62.41","43.1","25.69"
"2015-04-18T00:00:00.000-0700","124.75","31.2","95.07","26.61","32.53","160.67","41.62","170.65","43.0","32.92","62.41","43.1","25.69"
"2015-04-19T00:00:00.000-0700","124.75","31.2","95.07","26.61","32.53","160.67","41.62","170.65","43.0","32.92","62.41","43.1","25.69"
"2015-04-20T00:00:00.000-0700","127.6","31.7","95.31","26.78","33.41","166.16","42.9","171.22","43.32","32.95","63.74","43.15","26.7"
"2015-04-21T00:00:00.000-0700","126.91","31.56","98.85","26.32","33.21","164.26","42.635","175.39","43.42","33.37","64.23","43.45","27.61"
"2015-04-22T00:00:00.000-0700","128.62","31.9","98.72","27.13","33.51","165.36","42.985","176.32","43.55","33.68","65.92","43.72","27.43"
"2015-04-23T00:00:00.000-0700","129.67","32.07","102.2","26.59","33.38","170.24","43.34","176.63","43.39","33.65","67.81","44.45","28.32"
"2015-04-24T00:00:00.000-0700","130.28","32.235","102.4","26.5","33.26","169.78","47.87","175.09","43.08","35.3","67.88","43.98","28.26"
"2015-04-25T00:00:00.000-0700","130.28","32.235","102.4","26.5","33.26","169.78","47.87","175.09","43.08","35.3","67.88","43.98","28.26"
"2015-04-26T00:00:00.000-0700","130.28","32.235","102.4","26.5","33.26","169.78","47.87","175.09","43.08","35.3","67.88","43.98","28.26"
"2015-04-27T00:00:00.000-0700","132.65","31.745","99.91","26.59","33.07","170.73","48.03","173.56","43.61","35.03","67.32","43.86","28.53"
"2015-04-28T00:00:00.000-0700","130.56","32.18","99.58","27.05","33.24","173.92","49.15","169.7","44.5","34.975","66.63","44.22","29.04"
"2015-04-29T00:00:00.000-0700","128.64","32.19","100.35","27.08","33.32","174.4","49.06","187.07","44.73","35.58","67.92","44.22","29.27"
"2015-04-30T00:00:00.000-0700","125.15","31.77","97.84","26.91","32.97","171.29","48.64","182.12","43.62","34.79","66.345","43.99","28.75"
"2015-05-01T00:00:00.000-0700","128.95","31.83","97.77","27.12","33.8","173.67","48.655","182.68","44.37","34.91","66.71","45.01","29.18"
"2015-05-02T00:00:00.000-0700","128.95","31.83","97.77","27.12","33.8","173.67","48.655","182.68","44.37","34.91","66.71","45.01","29.18"
"2015-05-03T00:00:00.000-0700","128.95","31.83","97.77","27.12","33.8","173.67","48.655","182.68","44.37","34.91","66.71","45.01","29.18"
"2015-05-04T00:00:00.000-0700","128.7","31.8","99.14","27.19","33.65","173.97","48.24","181.3","44.59","35.21","67.17","45.28","29.07"
"2015-05-05T00:00:00.000-0700","125.8","31.405","97.27","26.48","33.16","173.08","47.6","179.0","43.92","34.89","65.73","44.54","27.45"
"2015-05-06T00:00:00.000-0700","125.01","31.45","96.75","26.13","32.5","170.05","46.28","179.35","43.26","34.61","66.06","44.94","26.68"
"2015-05-07T00:00:00.000-0700","125.26","31.4","97.43","26.18","32.82","170.99","46.7","177.54","43.48","34.89","66.59","41.8","20.07"
"2015-05-08T00:00:00.000-0700","127.62","31.6","110.69","26.93","33.41","172.68","47.75","180.84","44.01","36.105","68.56","40.86","19.87"
"2015-05-09T00:00:00.000-0700","127.62","31.6","110.69","26.93","33.41","172.68","47.75","180.84","44.01","36.105","68.56","40.86","19.87"
"2015-05-10T00:00:00.000-0700","127.62","31.6","110.69","26.93","33.41","172.68","47.75","180.84","44.01","36.105","68.56","40.86","19.87"
"2015-05-11T00:00:00.000-0700","126.32","31.08","112.0","26.82","33.7","171.12","47.37","181.06","43.84","35.91","67.38","40.11","19.51"
"2015-05-12T00:00:00.000-0700","125.865","31.28","110.15","26.52","32.92","170.55","47.35","177.58","43.57","36.12","67.67","40.01","19.3"
"2015-05-13T00:00:00.000-0700","126.01","31.53","110.84","26.52","33.3","172.28","47.625","177.43","43.79","36.28","69.71","40.64","19.27"
"2015-05-14T00:00:00.000-0700","128.95","32.02","112.66","27.03","33.7","174.05","48.72","179.82","44.38","36.58","70.42","40.82","19.72"
"2015-05-15T00:00:00.000-0700","128.77","31.69","110.09","26.88","33.6","173.26","48.295","178.8","44.15","36.21","70.232","40.22","19.6"
"2015-05-16T00:00:00.000-0700","128.77","31.69","110.09","26.88","33.6","173.26","48.295","178.8","44.15","36.21","70.232","40.22","19.6"
"2015-05-17T00:00:00.000-0700","128.77","31.69","110.09","26.88","33.6","173.26","48.295","178.8","44.15","36.21","70.232","40.22","19.6"
"2015-05-18T00:00:00.000-0700","130.19","31.76","111.91","26.78","33.25","173.06","48.01","179.1","44.24","36.4","67.03","40.46","20.31"
"2015-05-19T00:00:00.000-0700","130.07","31.73","114.3","26.86","33.4","173.48","47.58","178.69","44.32","36.58","67.94","40.29","20.94"
"2015-05-20T00:00:00.000-0700","130.06","31.36","113.33","26.64","33.07","173.76","47.58","176.45","44.29","37.17","68.02","40.23","21.49"
"2015-05-21T00:00:00.000-0700","131.39","31.6","112.96","26.79","33.83","173.34","47.42","175.38","44.28","37.19","69.35","39.93","20.3"
"2015-05-22T00:00:00.000-0700","132.54","31.33","113.36","26.84","34.76","172.22","46.9","175.3","43.93","37.24","68.94","39.57","20.24"
"2015-05-23T00:00:00.000-0700","132.54","31.33","113.36","26.84","34.76","172.22","46.9","175.3","43.93","37.24","68.94","39.57","20.24"
"2015-05-24T00:00:00.000-0700","132.54","31.33","113.36","26.84","34.76","172.22","46.9","175.3","43.93","37.24","68.94","39.57","20.24"
"2015-05-25T00:00:00.000-0700","132.54","31.33","113.36","26.84","34.76","172.22","46.9","175.3","43.93","37.24","68.94","39.57","20.24"
"2015-05-26T00:00:00.000-0700","129.62","30.75","112.61","26.29","33.38","170.13","46.59","172.79","43.33","36.44","68.3","38.7","20.04"
"2015-05-27T00:00:00.000-0700","132.045","31.175","114.86","26.69","33.78","172.0","47.6108","175.31","44.14","36.855","69.35","38.83","20.07"
"2015-05-28T00:00:00.000-0700","131.78","30.7","113.23","26.52","33.65","171.71","47.45","176.68","43.86","36.84","71.07","38.73","20.16"
"2015-05-29T00:00:00.000-0700","130.28","30.45","113.21","26.34","33.4","169.65","46.89","175.98","43.49","36.17","67.62","38.94","20.18"
"2015-05-30T00:00:00.000-0700","130.28","30.45","113.21","26.34","33.4","169.65","46.89","175.98","43.49","36.17","67.62","38.94","20.18"
"2015-05-31T00:00:00.000-0700","130.28","30.45","113.21","26.34","33.4","169.65","46.89","175.98","43.49","36.17","67.62","38.94","20.18"
"2015-06-01T00:00:00.000-0700","130.535","30.11","112.9","26.68","33.76","170.18","47.23","176.14","43.79","36.37","66.46","38.62","19.71"
"2015-06-02T00:00:00.000-0700","129.96","29.9","112.9","26.62","33.88","169.65","46.92","175.88","43.7","36.28","66.165","39.25","20.07"
"2015-06-03T00:00:00.000-0700","130.12","30.02","114.87","27.05","33.96","169.92","46.85","177.8","43.97","36.98","66.78","40.0","20.88"
"2015-06-04T00:00:00.000-0700","129.36","29.62","113.51","27.01","33.3","168.38","46.389","174.89","43.77","36.59","65.39","39.12","20.53"
"2015-06-05T00:00:00.000-0700","128.65","29.67","115.6","27.34","32.92","167.4","46.14","180.43","43.81","37.32","68.66","39.17","21.44"
"2015-06-06T00:00:00.000-0700","128.65","29.67","115.6","27.34","32.92","167.4","46.14","180.43","43.81","37.32","68.66","39.17","21.44"
"2015-06-07T00:00:00.000-0700","128.65","29.67","115.6","27.34","32.92","167.4","46.14","180.43","43.81","37.32","68.66","39.17","21.44"
"2015-06-08T00:00:00.000-0700","127.8","29.45","113.64","26.66","32.69","165.34","45.73","176.87","43.1","36.36","67.95","38.87","21.61"
"2015-06-09T00:00:00.000-0700","127.42","29.43","116.27","26.71","32.58","165.68","45.65","176.78","43.07","36.22","67.39","38.77","21.28"
"2015-06-10T00:00:00.000-0700","128.88","30.08","117.73","27.0","32.91","168.92","46.61","181.76","43.94","36.86","69.48","39.04","21.54"
"2015-06-11T00:00:00.000-0700","128.59","30.265","119.0","27.3","32.52","168.78","46.44","180.64","44.28","36.58","69.16","38.56","21.68"
"2015-06-12T00:00:00.000-0700","127.17","30.14","119.08","27.07","32.41","166.99","45.97","178.75","44.34","36.65","68.915","38.57","22.47"
"2015-06-13T00:00:00.000-0700","127.17","30.14","119.08","27.07","32.41","166.99","45.97","178.75","44.34","36.65","68.915","38.57","22.47"
"2015-06-14T00:00:00.000-0700","127.17","30.14","119.08","27.07","32.41","166.99","45.97","178.75","44.34","36.65","68.915","38.57","22.47"
"2015-06-15T00:00:00.000-0700","126.92","29.805","120.75","26.94","31.71","166.26","45.475","174.09","43.72","35.97","70.2501","37.5","22.77"
"2015-06-16T00:00:00.000-0700","127.6","30.17","120.6","27.13","31.65","166.84","45.83","176.2","44.64","36.61","70.58","38.25","22.79"
"2015-06-17T00:00:00.000-0700","127.3","30.29","120.75","27.25","32.21","167.17","45.97","176.8","44.91","36.98","71.54","38.65","22.7"
"2015-06-18T00:00:00.000-0700","127.88","30.49","122.54","27.4","32.08","168.25","46.7","178.64","42.74","37.32","73.07","39.02","22.86"
"2015-06-19T00:00:00.000-0700","126.6","30.48","122.81","27.07","31.8","166.99","46.1","177.54","41.59","37.09","73.19","38.36","22.84"
"2015-06-20T00:00:00.000-0700","126.6","30.48","122.81","27.07","31.8","166.99","46.1","177.54","41.59","37.09","73.19","38.36","22.84"
"2015-06-21T00:00:00.000-0700","126.6","30.48","122.81","27.07","31.8","166.99","46.1","177.54","41.59","37.09","73.19","38.36","22.84"
"2015-06-22T00:00:00.000-0700","127.61","30.66","121.54","27.3","31.7","167.73","46.25","178.62","41.49","37.735","73.6","38.56","23.74"
"2015-06-23T00:00:00.000-0700","127.03","30.84","122.16","27.46","31.63","168.62","45.91","178.33","41.71","37.86","72.9","38.07","24.67"
"2015-06-24T00:00:00.000-0700","128.11","30.67","119.68","27.45","31.54","166.97","45.635","174.23","41.2","36.83","71.31","37.6","23.73"
"2015-06-25T00:00:00.000-0700","127.5","30.175","120.56","27.04","31.21","166.08","45.66","173.89","41.06","36.57","72.35","37.52","23.74"
"2015-06-26T00:00:00.000-0700","126.75","29.9","117.04","26.455","30.48","165.61","45.31","173.86","41.04","35.97","70.37","37.24","23.11"
"2015-06-27T00:00:00.000-0700","126.75","29.9","117.04","26.455","30.48","165.61","45.31","173.86","41.04","35.97","70.37","37.24","23.11"
"2015-06-28T00:00:00.000-0700","126.75","29.9","117.04","26.455","30.48","165.61","45.31","173.86","41.04","35.97","70.37","37.24","23.11"
"2015-06-29T00:00:00.000-0700","124.53","29.07","113.81","25.99","29.97","162.97","44.39","167.88","40.42","34.54","68.06","36.95","22.1"
"2015-06-30T00:00:00.000-0700","125.425","29.29","116.07","26.44","30.015","163.01","44.15","170.08","40.41","34.96","69.62","37.01","22.09"
"2015-07-01T00:00:00.000-0700","126.6","29.51","116.98","26.42","30.52","164.49","44.44","170.06","40.24","35.14","69.47","36.2","22.31"
"2015-07-02T00:00:00.000-0700","126.44","29.53","117.11","26.5","30.69","165.09","44.36","172.57","40.36","35.7908","69.72","36.02","21.81"
"2015-07-03T00:00:00.000-0700","126.44","29.53","117.11","26.5","30.69","165.09","44.36","172.57","40.36","35.7908","69.72","36.02","21.81"
"2015-07-04T00:00:00.000-0700","126.44","29.53","117.11","26.5","30.69","165.09","44.36","172.57","40.36","35.7908","69.72","36.02","21.81"
"2015-07-05T00:00:00.000-0700","126.44","29.53","117.11","26.5","30.69","165.09","44.36","172.57","40.36","35.7908","69.72","36.02","21.81"
"2015-07-06T00:00:00.000-0700","126.0","29.52","116.81","26.31","30.57","164.73","44.39","172.47","40.15","35.29","68.57","35.62","21.42"
"2015-07-07T00:00:00.000-0700","125.69","30.08","117.51","26.6","30.8","165.0","44.305","173.6","40.16","35.365","68.33","35.91","21.74"
"2015-07-08T00:00:00.000-0700","122.57","29.83","116.26","25.89","30.45","163.16","44.24","172.22","39.77","35.355","67.35","35.41","21.9"
"2015-07-09T00:00:00.000-0700","120.07","29.985","119.45","25.64","30.39","163.85","44.52","174.44","40.18","36.13","69.0","35.56","23.44"
"2015-07-10T00:00:00.000-0700","123.28","30.34","121.01","25.79","30.65","166.95","44.594","175.7","40.36","37.07","71.84","35.93","24.01"
"2015-07-11T00:00:00.000-0700","123.28","30.34","121.01","25.79","30.65","166.95","44.594","175.7","40.36","37.07","71.84","35.93","24.01"
"2015-07-12T00:00:00.000-0700","123.28","30.34","121.01","25.79","30.65","166.95","44.594","175.7","40.36","37.07","71.84","35.93","24.01"
"2015-07-13T00:00:00.000-0700","125.66","30.34","121.01","25.79","30.65","166.95","44.594","175.7","40.36","37.07","71.84","35.93","24.01"
"2015-07-14T00:00:00.000-0700","125.61","30.5","121.78","25.12","30.51","168.61","45.62","180.7","40.78","37.92","72.22","36.31","24.28"
"2015-07-15T00:00:00.000-0700","126.82","30.52","121.48","25.14","30.5","168.53","45.76","182.87","40.79","37.81","71.62","35.99","23.88"
"2015-07-16T00:00:00.000-0700","128.51","30.72","125.09","25.21","30.35","171.0","46.66","186.3","40.96","38.37","72.6","35.76","23.67"
"2015-07-17T00:00:00.000-0700","129.62","30.53","126.34","25.26","30.36","172.51","46.6","185.63","40.4","38.0","72.88","35.62","23.94"
"2015-07-18T00:00:00.000-0700","129.62","30.53","126.34","25.26","30.36","172.51","46.6","185.63","40.4","38.0","72.88","35.62","23.94"
"2015-07-19T00:00:00.000-0700","129.62","30.53","126.34","25.26","30.36","172.51","46.6","185.63","40.4","38.0","72.88","35.62","23.94"
"2015-07-20T00:00:00.000-0700","132.07","30.49","128.15","24.98","30.45","173.22","46.92","184.0","39.93","37.95","73.2","36.85","22.6"
"2015-07-21T00:00:00.000-0700","130.75","30.59","127.57","24.93","30.66","163.07","47.28","181.5","39.57","37.78","73.01","36.63","22.67"
"2015-07-22T00:00:00.000-0700","125.22","30.14","128.74","25.38","30.77","160.35","45.51","183.72","39.42","37.43","73.27","36.61","22.73"
"2015-07-23T00:00:00.000-0700","125.16","29.9","127.27","25.97","31.23","161.73","46.11","179.82","39.0","37.6","74.82","36.71","23.92"
"2015-07-24T00:00:00.000-0700","124.48","29.07","127.44","25.62","30.81","159.75","45.97","181.43","39.0","40.57","73.91","35.87","23.41"
"2015-07-25T00:00:00.000-0700","124.48","29.07","127.44","25.62","30.81","159.75","45.97","181.43","39.0","40.57","73.91","35.87","23.41"
"2015-07-26T00:00:00.000-0700","124.48","29.07","127.44","25.62","30.81","159.75","45.97","181.43","39.0","40.57","73.91","35.87","23.41"
"2015-07-27T00:00:00.000-0700","122.89","28.75","125.0","26.04","30.25","159.07","45.39","178.17","38.51","39.94","70.6","35.74","22.88"
"2015-07-28T00:00:00.000-0700","123.32","29.14","127.07","26.78","30.27","160.05","45.34","202.01","39.28","40.67","70.89","36.15","22.39"
"2015-07-29T00:00:00.000-0700","122.99","29.29","113.49","26.68","30.3","161.09","46.29","204.48","39.79","40.62","68.97","36.38","21.31"
"2015-07-30T00:00:00.000-0700","122.37","29.43","106.84","26.78","30.62","160.96","46.96","204.81","39.65","40.5","69.25","36.6","21.02"
"2015-07-31T00:00:00.000-0700","121.46","29.135","104.74","26.89","30.52","161.99","46.79","203.85","39.94","40.46","69.94","37.11","20.79"
"2015-08-01T00:00:00.000-0700","121.46","29.135","104.74","26.89","30.52","161.99","46.79","203.85","39.94","40.46","69.94","37.11","20.79"
"2015-08-02T00:00:00.000-0700","121.46","29.135","104.74","26.89","30.52","161.99","46.79","203.85","39.94","40.46","69.94","37.11","20.79"
"2015-08-03T00:00:00.000-0700","118.435","28.92","101.34","26.34","30.02","158.71","46.81","203.5","39.71","40.55","68.86","36.53","20.24"
"2015-08-04T00:00:00.000-0700","114.64","29.03","101.18","26.01","29.76","157.6","47.54","214.86","39.66","40.52","68.11","35.99","20.0"
"2015-08-05T00:00:00.000-0700","115.4","29.2","103.94","26.85","30.3","157.9","47.58","216.245","39.64","40.62","69.31","36.27","21.19"
"2015-08-06T00:00:00.000-0700","115.17","28.92","99.25","27.21","30.14","156.32","46.62","213.04","39.32","39.33","68.31","30.43","20.65"
"2015-08-07T00:00:00.000-0700","115.52","29.08","101.77","27.24","29.41","155.12","46.74","215.61","39.56","39.58","67.67","30.0","23.51"
"2015-08-08T00:00:00.000-0700","115.52","29.08","101.77","27.24","29.41","155.12","46.74","215.61","39.56","39.58","67.67","30.0","23.51"
"2015-08-09T00:00:00.000-0700","115.52","29.08","101.77","27.24","29.41","155.12","46.74","215.61","39.56","39.58","67.67","30.0","23.51"
"2015-08-10T00:00:00.000-0700","119.6901","29.47","103.9","27.32","30.24","156.75","47.33","218.85","39.89","40.17","69.4","30.9","23.15"
"2015-08-11T00:00:00.000-0700","113.5499","29.41","102.16","26.49","29.32","155.51","46.41","215.41","39.17","39.57","68.01","30.25","22.95"
"2015-08-12T00:00:00.000-0700","115.24","29.46","103.05","26.38","29.1","156.16","46.74","216.98","39.28","40.19","68.03","30.52","22.53"
"2015-08-13T00:00:00.000-0700","115.15","29.23","104.25","26.37","28.45","155.07","46.73","218.71","39.31","41.18","68.97","30.54","22.98"
"2015-08-14T00:00:00.000-0700","116.0","29.38","107.44","26.62","28.71","155.75","47.0","218.8","39.41","41.92","69.78","30.53","23.49"
"2015-08-15T00:00:00.000-0700","116.0","29.38","107.44","26.62","28.71","155.75","47.0","218.8","39.41","41.92","69.78","30.53","23.49"
"2015-08-16T00:00:00.000-0700","116.0","29.38","107.44","26.62","28.71","155.75","47.0","218.8","39.41","41.92","69.78","30.53","23.49"
"2015-08-17T00:00:00.000-0700","117.16","29.64","106.49","26.95","28.61","156.31","47.32","221.6","39.72","41.87","70.73","30.63","24.05"
"2015-08-18T00:00:00.000-0700","116.5","29.53","106.04","26.42","28.39","156.01","47.27","217.73","39.83","41.38","69.92","30.41","23.965"
"2015-08-19T00:00:00.000-0700","115.01","29.3","104.56","26.15","27.74","153.94","46.61","218.62","39.53","40.63","68.78","29.88","23.83"
"2015-08-20T00:00:00.000-0700","112.65","28.3","100.6","25.7","27.35","152.66","45.75","209.59","38.63","38.73","64.39","29.63","22.56"
